Program,month,pos,neu,neg,count
PublicDiscussion,2024-05-01,0.01,0.535,0.455,2
PublicDiscussion,2024-06-01,0.12,0.14,0.74,1
PublicDiscussion,2024-07-01,0.365,0.62,0.01,2
PublicDiscussion,2024-08-01,0.0,0.0,0.0,1
PublicDiscussion,2024-09-01,0.006666666666666667,0.32666666666666666,0.0,3
PublicDiscussion,2024-10-01,0.0,1.0,0.0,1
PublicDiscussion,2024-11-01,0.06222222222222223,0.17,0.3244444444444444,9
PublicDiscussion,2024-12-01,0.008571428571428572,0.7414285714285713,0.10714285714285714,7
PublicDiscussion,2025-01-01,0.0675,0.4125,0.5175000000000001,4
PublicDiscussion,2025-02-01,0.99,0.01,0.0,1
PublicDiscussion,2025-04-01,0.0,0.07,0.43,2
PublicDiscussion,2025-05-01,0.16666666666666666,0.36777777777777776,0.3555555555555555,9
PublicDiscussion,2025-06-01,0.4625,0.515,0.022500000000000003,4
PublicDiscussion,2025-07-01,0.14833333333333334,0.3633333333333333,0.15666666666666665,6
PublicDiscussion,2025-08-01,0.06666666666666667,0.5033333333333333,0.43,3
PublicDiscussion,2025-09-01,0.01,0.64,0.35,2
PublicDiscussion,2025-10-01,0.02,0.07666666666666667,0.9033333333333333,3
PublicDiscussion,2025-11-01,0.73,0.265,0.005,2
PublicDiscussion,2025-12-01,0.71,0.14,0.15,1
PublicDiscussion,2026-01-01,0.115,0.74,0.14250000000000002,4
PublicDiscussion,2026-02-01,0.12653846153846154,0.3946153846153846,0.4788461538461538,26
PublicDiscussion,2026-03-01,0.20321518987341772,0.43734177215189873,0.3589873417721519,395
PublicDiscussion,2026-04-01,0.36300000000000004,0.3655,0.271,60
PublicDiscussion,2026-05-01,0.2065,0.39675000000000005,0.372,40
PublicDiscussion,2026-06-01,0.25753830439223696,0.30329928498467823,0.3967517875383044,979
